symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
000001,平安银行,2022,2023-03-09,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1216072952&orgId=gssz0000001&announcementTime=2023-03-09,2023-03-10,2023-06-08,-0.067696
000002,万  科Ａ,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1216273938&orgId=gssz0000002&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.080051
000004,*ST国华,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000004&announcementId=1216702538&orgId=gssz0000004&announcementTime=2023-04-29,2023-05-04,2023-08-01,0.77872
000006,深振业Ａ,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1216655440&orgId=gssz0000006&announcementTime=2023-04-28,2023-05-04,2023-07-31,0.091012
000008,神州高铁,2022,2023-04-22,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000008&announcementId=1216529244&orgId=gssz0000008&announcementTime=2023-04-22,2023-04-24,2023-07-24,-0.012723
000007,全新好,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000007&announcementId=1216704081&orgId=gssz0000007&announcementTime=2023-04-29,2023-05-05,2023-08-01,-0.086926
000009,中国宝安,2022,2023-04-15,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000009&announcementId=1216413578&orgId=gssz0000009&announcementTime=2023-04-15,2023-04-17,2023-07-17,0.015493
000010,美丽生态,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000010&announcementId=1216661892&orgId=gssz0000010&announcementTime=2023-04-28,2023-05-04,2023-07-31,0.23508
000012,南  玻Ａ,2022,2023-04-26,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000012&announcementId=1216593484&orgId=gssz0000012&announcementTime=2023-04-26,2023-04-27,2023-07-27,-0.061918
000011,深物业A,2022,2023-03-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000011&announcementId=1216221401&orgId=gssz0000011&announcementTime=2023-03-25,2023-03-27,2023-06-27,-0.131788
000014,沙河股份,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1216269818&orgId=gssz0000014&announcementTime=2023-03-31,2023-04-03,2023-07-04,0.23087
000016,深康佳Ａ,2022,2023-03-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000016&announcementId=1216238393&orgId=gssz0000016&announcementTime=2023-03-28,2023-03-29,2023-06-29,-0.024942
000017,深中华A,2022,2023-04-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000017&announcementId=1216562915&orgId=gssz0000017&announcementTime=2023-04-25,2023-04-26,2023-07-26,0.157502
000019,深粮控股,2022,2023-04-26,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000019&announcementId=1216603127&orgId=gssz0000019&announcementTime=2023-04-26,2023-04-27,2023-07-27,0.063728
000020,深华发Ａ,2022,2023-04-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000020&announcementId=1216550977&orgId=gssz0000020&announcementTime=2023-04-25,2023-04-26,2023-07-26,0.311761
000021,深科技,2022,2023-04-21,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000021&announcementId=1216497188&orgId=gssz0000021&announcementTime=2023-04-21,2023-04-24,2023-07-24,-0.032722
000025,特  力Ａ,2022,2023-04-27,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000025&announcementId=1216613992&orgId=gssz0000025&announcementTime=2023-04-27,2023-04-28,2023-07-28,0.00666
000026,飞亚达,2022,2023-03-18,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000026&announcementId=1216146099&orgId=gssz0000026&announcementTime=2023-03-18,2023-03-20,2023-06-16,0.084919
000028,国药一致,2022,2023-04-13,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000028&announcementId=1216390152&orgId=gssz0000028&announcementTime=2023-04-13,2023-04-14,2023-07-14,-0.016793
000027,深圳能源,2022,2023-04-20,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000027&announcementId=1216476759&orgId=gssz0000027&announcementTime=2023-04-20,2023-04-21,2023-07-21,0.079928
000029,深深房Ａ,2022,2023-03-18,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000029&announcementId=1216149952&orgId=gssz0000029&announcementTime=2023-03-18,2023-03-20,2023-06-16,-0.057549
000030,富奥股份,2022,2023-04-20,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000030&announcementId=1216474649&orgId=gssz0000030&announcementTime=2023-04-20,2023-04-21,2023-07-21,0.186863
000031,大悦城,2022,2023-04-26,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1216587088&orgId=gssz0000031&announcementTime=2023-04-26,2023-04-27,2023-07-27,0.173073
000034,神州数码,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000034&announcementId=1216281548&orgId=gssz0000034&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.084402
000032,深桑达Ａ,2022,2023-04-26,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000032&announcementId=1216588869&orgId=gssz0000032&announcementTime=2023-04-26,2023-04-27,2023-07-27,-0.005047
000035,中国天楹,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000035&announcementId=1216697044&orgId=gssz0000035&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.165748
000036,华联控股,2022,2023-04-14,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000036&announcementId=1216406214&orgId=gssz0000036&announcementTime=2023-04-14,2023-04-17,2023-07-17,0.007772
000037,深南电A,2022,2023-04-07,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000037&announcementId=1216343767&orgId=gssz0000037&announcementTime=2023-04-07,2023-04-10,2023-07-10,0.919497
000039,中集集团,2022,2023-03-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000039&announcementId=1216289504&orgId=gssz0000039&announcementTime=2023-03-29,2023-03-30,2023-06-30,-0.049653
000045,深纺织Ａ,2022,2023-04-04,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000045&announcementId=1216320468&orgId=gssz0000045&announcementTime=2023-04-04,2023-04-06,2023-07-06,0.069381
000042,中洲控股,2022,2023-04-12,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000042&announcementId=1216380219&orgId=gssz0000042&announcementTime=2023-04-12,2023-04-13,2023-07-13,-0.102412
000048,京基智农,2022,2023-03-15,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000048&announcementId=1216116016&orgId=gssz0000048&announcementTime=2023-03-15,2023-03-16,2023-06-14,-0.016835
000049,德赛电池,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000049&announcementId=1216646478&orgId=gssz0000049&announcementTime=2023-04-28,2023-05-04,2023-07-31,-0.029183
000050,深天马Ａ,2022,2023-03-15,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000050&announcementId=1216116180&orgId=gssz0000050&announcementTime=2023-03-15,2023-03-16,2023-06-14,-0.070732
000055,方大集团,2022,2023-02-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000055&announcementId=1215991129&orgId=gssz0000055&announcementTime=2023-02-28,2023-03-01,2023-05-30,-0.082287
000056,皇庭国际,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000056&announcementId=1216705336&orgId=gssz0000056&announcementTime=2023-04-29,2023-05-04,2023-07-31,-0.030273
000058,深 赛 格,2022,2023-04-27,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000058&announcementId=1216621650&orgId=gssz0000058&announcementTime=2023-04-27,2023-04-28,2023-07-28,0.130237
000059,华锦股份,2022,2023-04-14,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000059&announcementId=1216405699&orgId=gssz0000059&announcementTime=2023-04-14,2023-04-17,2023-07-17,-0.102707
000061,农 产 品,2022,2023-04-27,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000061&announcementId=1216627190&orgId=gssz0000061&announcementTime=2023-04-27,2023-04-28,2023-07-28,0.088219
000060,中金岭南,2022,2023-04-10,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000060&announcementId=1216358772&orgId=gssz0000060&announcementTime=2023-04-10,2023-04-11,2023-07-11,0.102633
000062,深圳华强,2022,2023-03-15,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000062&announcementId=1216116554&orgId=gssz0000062&announcementTime=2023-03-15,2023-03-16,2023-06-14,-0.059189
000063,中兴通讯,2022,2023-03-11,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1216094376&orgId=gssz0000063&announcementTime=2023-03-11,2023-03-13,2023-06-09,0.163842
000065,北方国际,2022,2023-04-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000065&announcementId=1216562088&orgId=gssz0000065&announcementTime=2023-04-25,2023-04-26,2023-07-26,-0.059804
000066,中国长城,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000066&announcementId=1216700847&orgId=gssz0000066&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.082959
000068,华控赛格,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000068&announcementId=1216701006&orgId=gssz0000068&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.154173
000069,华侨城Ａ,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000069&announcementId=1216276910&orgId=gssz0000069&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.068305
